name,Dec,July,June,Nov,Oct,Sept
Amy Klobuchar,8.34494325944343,8.17283581302696,9.60427803558909,8.553094635420923,8.06923569364126,8.06907720917177
Andrew Yang,9.625158289007853,8.363096648085136,10.80336048578199,9.164741184791026,9.121119377378506,8.899459758345284
Bernie Sanders,9.618460972017676,9.10194642800969,9.020144040020703,10.44619541009006,9.619661518425286,10.52272123271366
Beto O’Rourke,,10.93503319713994,12.26027392148082,,10.263600030463554,10.03731993872493
Cory Booker,,9.029443144550356,11.873657548125632,9.366519776555482,10.65701247925444,10.344691348086567
Elizabeth Warren,8.812175967596762,7.749335371456848,9.700129032258069,8.520385222625762,8.68815766632703,7.850614351710341
Joe Biden,8.246392966243228,7.4725599445038995,7.251426432232748,8.161956912028725,7.027273865302767,6.661817262720703
Julián Castro,,8.401392795883364,12.888977115117893,,10.320605098057808,8.194199669966999
Kamala Harris,,10.990973635212956,8.340138888888891,11.383948720742318,9.248008921300606,8.514834728424681
Moderator,7.369296487042707,7.279494509133389,6.564199199780418,,7.209532356119418,7.615100248493722
Pete Buttigieg,10.263378587581773,10.040542464408446,9.962292682926833,13.322673531655226,10.910730456314116,10.740200194363464
Tulsi Gabbard,,10.657312182659034,11.203185533878305,13.436254442075338,11.134413924794359,
