name,speech,month
Lester Holt,"Comment on every topic, but over the course of the next two hours, we will hear from everyone. We’d also like to ask the audience to keep their reactions to a minimum, we are not going to be shy about making sure that candidates stick to time tonight.",June
Savannah,"All right, so with that business out of the way, we want to get to it and we’ll start this evening with Senator Elizabeth Warren. Senator, good evening to you.",June
Elizabeth W.,Thank you.  to be here.,June
Savannah,"You have many plans. Free college, free childcare, government healthcare, cancellation of student debt, new taxes, new regulations, the breakup of major corporations, but this comes at a time when 71% of Americans say the economy is doing well, including 60% of Democrats.",June
Savannah,What do you say to those who worry this kind of significant change could be risky to the economy?,June
Elizabeth W.,"I think of it this way. Who is this economy really working for? It’s doing great for thinner and thinner slice at the top. It’s doing great for giant drug companies. It’s just not doing great for people who are trying to get a prescription filled. It’s doing great for people who want to invest in private prisons, just not for the African Americans and Latin X whose families were torn apart, whose lives are destroyed and whose communities are ruined. It’s doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us.",June
Elizabeth W.,"When you’ve got a government, when you’ve got an autonomy, that does great for those with money and isn’t doing great for everyone else, that is corruption pure and simple, we need to call it out, we need to attack it head on, and we need to make structural change in our government, in our economy, and in our country.",June
Savannah,"Senator Klobuchar, you’ve called programs like free college, something you might do if you were, “A magic genie.” To be blunt, are the government programs and benefits that some of your rivals are offering, giving your voters, people, a false sense of what’s actually achievable?",June
Amy Klobuchar,"Well, first the economy. We know that not everyone is sharing in this prosperity and Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums. I do get concerned about paying for college for rich kids, I do, but I think my plan is a good one, and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile, gets help with their education. My own dad and my sister, got their first degrees with community college. There’s many paths to success as well as certifications.",June
Amy Klobuchar,"Secondly, I’d use Pell Grants. I’d double them from 6,000 to $12,000 a year, and expand it to the number of families that get covered, to families that make up to $100,000.",June
Amy Klobuchar,"And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this, if billionaires can pay off their yacht, students should be able to pay off their student loans.",June
Savannah,That’s time. Thank you.,June
Savannah,"Congressman O’Rourke, what we’ve just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable? In that vein, some Democrats want a marginal individual tax rate of 70% on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?",June
Beto O’Rourke,"This economy has got to work for everyone, and right now we know that it isn’t. It’s going to take all of us coming together to make sure that it does.",June
Beto O’Rourke,.,June
Beto O’Rourke,"Right now we have a system that favors those who can pay for access and outcomes. That’s how you explain an economy that is rigged to corporations and to the very wealthiest, a $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality.",June
Beto O’Rourke,"A new democracy that is revived because we’ve returned power to the people, no packs, no gerrymandering, automatic and same day voter registration to bring in more voters, and a new voting rights act to get rid of the barriers that are in place now, that’s how we each have a voice in our democracy and make this economy work for everybody.",June
Savannah,"Congressman, that’s time sir.",June
Savannah,"I’ll give you 10 seconds to answer if you want to answer the direct question, would you support a 70% individual marginal tax rate? Yes, no, or pass?",June
Beto O’Rourke,I would support a tax rate and a tax code that is fair to everyone. Tax capital –,June
Savannah,70% ?,June
Beto O’Rourke,"At the same rate that you tax ordinary income, take that corporate tax rate up to 28%, you would generate the revenues you need to pay for the programs we’re talking about.",June
Savannah,That’s time. Thank you.,June
Savannah,"Senator Booker, there is a debate in this party right now about the role of corporations as you know. Senator Warren in particular, put out a plan to break up tech companies like Facebook, Amazon, and Google. You’ve said we should not, “Be running around pointing at companies and breaking them up without any kind of process.” Why do you disagree?",June
Cory Booker,"I don’t think I disagree, I think we have a serious problem in our country with corporate consolidation, and you see the evidence of that in how dignity is being stripped from labor and we have people that work full-time jobs and still can’t make a living wage. We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs, and you see that by just the fact that this is actually an economy that’s hurting small businesses and not allowing them to compete.",June
Cory Booker,"One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the Ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work. I’ll tell you this, I live in a low income black and brown community. I see every single day that this economy is not working for average Americans.",June
Cory Booker,"The indicators that are being used from GDP to Wall Street’s rankings, is not helping people in my community. It is about time that we have economy that works for every body not just the wealthiest in our nation.",June
Savannah,"But quickly Senator Booker, you did say that you didn’t think it was right to name names, to name companies and single them out as Senator Warren has. Briefly, why is that?",June
Cory Booker,"Well again, I will single out companies like Halliburton or Amazon that pay nothing in taxes, and I’ll need to change that. When it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it. Number two, have a DOJ and a federal trade commission that will go through the processes necessary to check this kind of corporate concentration. At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from citizens united and the way they’re trying to influence Washington.",June
Cory Booker,"It’s about time that we have a president that fights for the people in this country, we need to have someone that’s a champion for them.",June
Savannah,"Thank you, senator. Senator Warren, I mentioned you. Are you picking winners and losers?",June
Elizabeth W.,"The way I understand this, is there is way too much consolidation now in giant industries in this country, that hurts workers, it hurts small businesses, it hurts independent farmers, it hurts our economy overall, and it helps constrict real innovation and growth in this economy.",June
Elizabeth W.,"Now look, we’ve had the laws out there for a long time to be able to fight back. What’s been missing is courage, courage in Washington to take on the giants. That’s part of the corruption in this system. It has been far too long that the monopolies have been making the campaign contributions, have been funding the super packs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington.",June
Elizabeth W.,"Where I want to start this is I want to return government to the people and that means calling out the names of the monopolies and saying, “I have the courage to go after them.”",June
Savannah,Thank you.,June
Lester Holt,"Secretary Castro, the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?",June
Julián Castro,"Thank you very much for that question, Lester. I grew up with a mother who raised my brother Joaquin and me as a single parent, and I know what it’s like to struggle, I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month, and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women, I would do several things starting with something we should’ve done a long time ago, which is to pass the Equal Rights Amendment finally in this country and also pursue legislation so that women are paid equal pay for equal work in this country.",June
Julián Castro,"It’s past time that we did that, and we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.",June
Lester Holt,"All right, thank you. I want to put the same question to Congresswoman Gabbard, your thoughts on equal pay.",June
Tulsi Gabbard,"First of all, let’s recognize the situation we’re in, that the American people deserve a president who will put your interests ahead of the rich and powerful, that’s not what we have right now.",June
Tulsi Gabbard,"I enlisted in the Army National Guard after the Al-Qaida terror attacks on 911, so I could go after those who had attacked us on that day, I still serve as a Major. I served over 16 years, deployed twice in the Middle East, and in Congress, I’ve serve on the foreign affairs and armed services committees for over six years. I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war, an arms race costing us trillions of our hard earned taxpayer dollars and countless lives.",June
Tulsi Gabbard,"This insanity must end, and as president I will take your hard earned taxpayer dollars and instead, invest those dollars into serving your needs. Things like healthcare, a green economy, good paying jobs, protecting our environment, and so much more.",June
Jose,"Mayor Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?",June
Bill De Blasio,"Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people’s lives. But let me tell you, what we’re hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear, this is supposed to be the party of working people. Yes, we’re supposed to be for 70% tax rate on the wealthy, yes, we’re supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they’re not serving our democracy.",June
Bill De Blasio,"This Democratic Party has to be strong and bold and progressive, and in New York we’ve proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people, in their communities, you hear folks saying there’s not enough money. What I say to them every single time is, “There’s plenty of money in this world, there’s plenty of money in this country, it’s just in the wrong hands.”",June
Jose,Thank you. Congressman –,June
Bill De Blasio,have to fix that.,June
Jose,"Congressman Delaney, you agree?",June
John Delaney,"I think we need to do real things to help American workers and the American people, this is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage, and I’ve called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage that gets right to workers.",June
John Delaney,"Then we got to fix our public education system. It’s not delivering the results our kids needs, nor is college, and post high school, career and technical training programs, doing that. I’m very different than everyone else here on this stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small to midsize businesses all over the country. 5,000 of them, I supported. The Obama Administration gave me an award for lending to disadvantaged communities.",June
John Delaney,"I know how to create jobs. We need a short-term strategy, which is to put money in the pockets of workers, with earned income tax credit, raising the minimum wage and created paid family leave, and then we need to have a long-term strategy to make sure this country is competitive, and we’re creating jobs everywhere in this country.",June
Jose,"Thank you. Governor Inslee, how would you address income inequality?",June
Jay Inslee,"Well, I’m a little bit surprised. I think plans are great, but I’m a governor and we got to realize the people who brought us the weekend, unions, neither are going to bring us a long overdue raise in America, and I’m proud of standing up for unions, I’ve got a plan to reinvigorate collective bargaining, so we can increase wages finally.",June
