name,speech
Audience,"USA, USA, USA, USA, USA, USA, USA, USA, USA."
Donald Trump,"Thank you very much. Thank you. Thank you. Thank you to Greenville, North Carolina, I want to thank you. And to, Mike Pence, you’ve done a great job. Great Vice President. Thank you Mike. And we have all night, we’re going to have a lot of fun tonight, and I have nothing to do, nothing, nothing. We have nothing to do but make our country great again, and that’s happening fast. It’s wonderful to be back in this beautiful state with thousands of hardworking North Carolina patriots, and thank you for your support."
Donald Trump,"Thank you for that very big victory we had three years ago. Time is flying. You getting ready? Let’s do it again. Right? Let’s do it again. I just heard that the United States House of Representative, has overwhelmingly voted to kill the most ridiculous project I’ve ever been involved in, the resolution. How stupid is that? Own impeachment. I want to thank those Democrats because many of them voted for us. The vote was a totally lopsided 332 to 95 to 1."
Donald Trump,"332 to 95, think of it, we have the strongest economy in history, the lowest unemployment numbers ever, we’ve rebuilt the most powerful military, it was totally depleted when I took office, and now it’s rebuilt. We passed the largest tax cuts and regulation cuts of any president or any administration in history. We took care of our great vets, including veterans choice, and veterans accountability. And they want to try and impeach, it’s a disgrace. It’s a disgrace."
Donald Trump,"So now we have that behind us, and I have to say this, and I’ll say it just once, what happened to me with this witch hunt should never be allowed to happen to another president of the United States. Never, ever again. I want to thank Republican leadership for what they’ve done for all of us, by stopping that hoax, the Russian hoax I call it, because America is winning again. America’s respected again, and, because we are finally putting America first."
Donald Trump,"Our economic policy can be summed up in three very beautiful and simple words, jobs, jobs, jobs. We’ve created 6 million new jobs since election day. If I would have said that, nobody would have believed it. If I would’ve said that, the fake news would have said he’s exaggerating. And I wouldn’t have said it because I wasn’t even sure we could do it. Think of it, 6 million jobs since election day, think of it. And by the way, North Carolina has had its best economic year in the history of your state."
Donald Trump,"Our country has added more than 180,000 people to the workforce, and think of that through what we’ve done on a federal basis. You picked up over 180,000 jobs, North Carolina. Think of that, and you have your lowest unemployment rate. You have a lot of good things, but let’s not talk too much about North Carolina. Let’s win this election nationwide. You remember North Carolina, that was going to be the Clinton firewall. She spent a fortune here, and I kept coming in and coming out. They call it, earned media. I earned it."
Donald Trump,"I kept coming in and coming out, and every time I left they said, “I don’t think we’ll lose in North Carolina.” You know what? I was right. We won it. We won it easily. We won it easily. So I just want to thank everybody. Seriously. This is a big… that was a big deal. November 8th, that was a big deal. Donald Trump has won the great state of North Carolina. A big deal. That was when you started to see the folks at a certain other convention, beautiful looking place."
Donald Trump,"One of the most beautiful venues I’ve ever seen, but I don’t want any part of it. It was unlucky. I don’t want any part, but that’s when you saw the people say, what the hell is going on? What? What’s happening? And then it was state after state, it was Florida, it was South Carolina, we love South Carolina. Right? Unbelievable. It was Pennsylvania. Remember they wouldn’t announce the numbers in Pennsylvania, so there was 1% of the vote remaining."
Donald Trump,"If I lost every one of those votes, we still win by a lot, and they wouldn’t announce it. They wouldn’t announce it. And then we won the great state of Wisconsin. First time in many, many decades, that a Republican won. And then we had a surprise, but not a surprise to us, because we’re bringing back the auto industry. We brought so much back to the great state of Michigan. That was a shocker, remember that?"
Donald Trump,"Do you remember a certain hand on that beautiful board and they said, “You know this sport is getting awfully red.” That’s Republican. “There’s a lot of red up there.” We had a lot of… That was one hell of a night, wasn’t it though? One hell of a night. I think it was maybe, you know there are those that say, one of the most extraordinary and exciting evenings in the history of television and the history of anything. And you know, you can go, all over the world in some cases, it was morning."
Donald Trump,"You go to Asia, you go to Europe, you go all over. It was just record setting and here’s the point, we have to do it again. We have to do it again."
Audience,Four more years! Four more years! Four more years! Four more years! Four more years! Four more years! Four more years! Four more years!
Donald Trump,"And the reason we have to not only to do new things, which we will, and you know statutorily and we had all sorts of artificial witch hunts over our head. Can you imagine if we didn’t have to go through that hoax? I don’t know that we would’ve done any better to be honest with you. I think we’ve done more in two and a half years than any president ever< first two and a half years. But could you imagine what it could have been if we didn’t have the witch hunt?"
Speaker 4,Bullshit.
Donald Trump,"You said it. He said it. I won’t say it because it’s a Harrell, it’s a terrible word. So I will not say that this guy said, if we didn’t have the bullshit, that’s all. No, no. Could you imagine if we didn’t have the time wasted the time and everything. Can you imagine? And you know a friend of mine said maybe you wouldn’t have done as well. Is that possible? That can happen."
Speaker 4,No. No.
Donald Trump,"Maybe we would have had too much time on our hands. Who knows? But I can say, nobody in their first two and a half years has done anywhere close to what we not being what we, not me, what we’ve all done. It’s true. The unemployment rate among African Americans is the lowest in the history of our country. Unemployment among Hispanic Americans, where we’re doing really well, you know why? Because they want a strong border. They want it because they understand the border better than anybody."
Donald Trump,"They want that strong border. They want that wall that’s being built right now. They want that wall, and they really do. They understand the border better than anybody, and they don’t want criminals coming in. They don’t want crime coming, they don’t want to lose their jobs. They like the fact that their salaries are going up, their wages are going up, they understand it better. So Hispanic American, the best unemployment numbers in our history, Asian Americans, the best unemployment numbers in our history."
Donald Trump,"And likewise women, 74 years. So I’m sorry women, I let you down. It’s not in our history, but we’re going to be there very soon. We’re going to be there very soon. Women are doing incredibly and women… the men are going to get angry. Sorry men. Whoa, look at all those signs. Women for Trump. Wow, thank you. That’s a lot of signs. You remember last election, Donald Trump will never ever get the women. Then we got this tremendous number of women."
